DATE,VALUE,VALUE2
1948/1/1,3.4,5.4
1948/2/1,3.8,5.8
1948/3/1,4,6
1948/4/1,3.9,5.9
1948/5/1,3.5,5.5
1948/6/1,3.6,5.6
1948/7/1,3.6,5.6
1948/8/1,3.9,5.9
1948/9/1,3.8,5.8
1948/10/1,3.7,5.7
1948/11/1,3.8,5.8
1948/12/1,4,6
1949/1/1,4.3,6.3
1949/2/1,4.7,6.7
1949/3/1,5,7
1949/4/1,5.3,7.3
1949/5/1,6.1,8.1
1949/6/1,6.2,8.2
1949/7/1,6.7,8.7
1949/8/1,6.8,8.8
1949/9/1,6.6,8.6
1949/10/1,7.9,9.9
1949/11/1,6.4,8.4
1949/12/1,6.6,8.6
1950/1/1,6.5,8.5
1950/2/1,6.4,8.4
1950/3/1,6.3,8.3
1950/4/1,5.8,7.8
1950/5/1,5.5,7.5
1950/6/1,5.4,7.4
1950/7/1,5,7
1950/8/1,4.5,6.5
1950/9/1,4.4,6.4
1950/10/1,4.2,6.2
1950/11/1,4.2,6.2
1950/12/1,4.3,6.3
1951/1/1,3.7,5.7
1951/2/1,3.4,5.4
1951/3/1,3.4,5.4
1951/4/1,3.1,5.1
1951/5/1,3,5
1951/6/1,3.2,5.2
1951/7/1,3.1,5.1
1951/8/1,3.1,5.1
1951/9/1,3.3,5.3
1951/10/1,3.5,5.5
1951/11/1,3.5,5.5
1951/12/1,3.1,5.1
1952/1/1,3.2,5.2
1952/2/1,3.1,5.1
1952/3/1,2.9,4.9
1952/4/1,2.9,4.9
1952/5/1,3,5
1952/6/1,3,5
1952/7/1,3.2,5.2
1952/8/1,3.4,5.4
1952/9/1,3.1,5.1
1952/10/1,3,5
1952/11/1,2.8,4.8
1952/12/1,2.7,4.7
1953/1/1,2.9,4.9
1953/2/1,2.6,4.6
1953/3/1,2.6,4.6
1953/4/1,2.7,4.7
1953/5/1,2.5,4.5
1953/6/1,2.5,4.5
1953/7/1,2.6,4.6
1953/8/1,2.7,4.7
1953/9/1,2.9,4.9
1953/10/1,3.1,5.1
1953/11/1,3.5,5.5
1953/12/1,4.5,6.5
1954/1/1,4.9,6.9
1954/2/1,5.2,7.2
1954/3/1,5.7,7.7
1954/4/1,5.9,7.9
1954/5/1,5.9,7.9
1954/6/1,5.6,7.6
1954/7/1,5.8,7.8
1954/8/1,6,8
1954/9/1,6.1,8.1
1954/10/1,5.7,7.7
1954/11/1,5.3,7.3
1954/12/1,5,7
1955/1/1,4.9,6.9
1955/2/1,4.7,6.7
1955/3/1,4.6,6.6
1955/4/1,4.7,6.7
1955/5/1,4.3,6.3
1955/6/1,4.2,6.2
1955/7/1,4,6
1955/8/1,4.2,6.2
1955/9/1,4.1,6.1
1955/10/1,4.3,6.3
1955/11/1,4.2,6.2
1955/12/1,4.2,6.2
1956/1/1,4,6
1956/2/1,3.9,5.9
1956/3/1,4.2,6.2
1956/4/1,4,6
1956/5/1,4.3,6.3
1956/6/1,4.3,6.3
1956/7/1,4.4,6.4
1956/8/1,4.1,6.1
1956/9/1,3.9,5.9
1956/10/1,3.9,5.9
1956/11/1,4.3,6.3
1956/12/1,4.2,6.2
1957/1/1,4.2,6.2
1957/2/1,3.9,5.9
1957/3/1,3.7,5.7
1957/4/1,3.9,5.9
1957/5/1,4.1,6.1
1957/6/1,4.3,6.3
1957/7/1,4.2,6.2
1957/8/1,4.1,6.1
1957/9/1,4.4,6.4
1957/10/1,4.5,6.5
1957/11/1,5.1,7.1
1957/12/1,5.2,7.2
1958/1/1,5.8,7.8
1958/2/1,6.4,8.4
1958/3/1,6.7,8.7
1958/4/1,7.4,9.4
1958/5/1,7.4,9.4
